code_region,region,rang_vaccinal,date_debut_semaine,nb
75,NAQ,1,2021-03-08,1210
75,NAQ,2,2021-03-08,736
75,NAQ,1,2021-03-15,45345
75,NAQ,2,2021-03-15,7951
75,NAQ,1,2021-03-22,87091
75,NAQ,2,2021-03-22,15697
75,NAQ,1,2021-03-29,99771
75,NAQ,2,2021-03-29,26136
75,NAQ,1,2021-04-05,110155
75,NAQ,2,2021-04-05,41106
75,NAQ,1,2021-04-12,119034
75,NAQ,2,2021-04-12,65427
75,NAQ,1,2021-04-19,112106
75,NAQ,2,2021-04-19,81976
75,NAQ,1,2021-04-26,128525
75,NAQ,2,2021-04-26,95135
75,NAQ,1,2021-05-03,139307
75,NAQ,2,2021-05-03,115831
75,NAQ,1,2021-05-10,147339
75,NAQ,2,2021-05-10,97274
75,NAQ,1,2021-05-17,199343
75,NAQ,2,2021-05-17,61145
75,NAQ,1,2021-05-24,168945
75,NAQ,2,2021-05-24,60142
75,NAQ,1,2021-05-31,184526
75,NAQ,2,2021-05-31,89756
75,NAQ,1,2021-06-07,170829
75,NAQ,2,2021-06-07,123707
75,NAQ,1,2021-06-14,146148
75,NAQ,2,2021-06-14,142114
75,NAQ,1,2021-06-21,112448
75,NAQ,2,2021-06-21,164325
75,NAQ,1,2021-06-28,85292
75,NAQ,2,2021-06-28,198419
75,NAQ,1,2021-07-05,86143
75,NAQ,2,2021-07-05,195632
75,NAQ,1,2021-07-12,73833
75,NAQ,2,2021-07-12,207301
75,NAQ,1,2021-07-19,77715
75,NAQ,2,2021-07-19,208082
75,NAQ,1,2021-07-26,80775
75,NAQ,2,2021-07-26,158852
75,NAQ,1,2021-08-02,54008
75,NAQ,2,2021-08-02,100313
75,NAQ,1,2021-08-09,32560
75,NAQ,2,2021-08-09,73502
28,NOR,1,2021-02-22,1
28,NOR,1,2021-03-01,1
28,NOR,1,2021-03-15,25096
28,NOR,2,2021-03-15,2916
28,NOR,1,2021-03-22,49173
28,NOR,2,2021-03-22,6720
28,NOR,1,2021-03-29,46654
28,NOR,2,2021-03-29,20103
28,NOR,1,2021-04-05,53797
28,NOR,2,2021-04-05,32047
28,NOR,1,2021-04-12,60480
28,NOR,2,2021-04-12,38030
28,NOR,1,2021-04-19,60886
28,NOR,2,2021-04-19,48138
28,NOR,1,2021-04-26,74474
28,NOR,2,2021-04-26,45976
28,NOR,1,2021-05-03,77755
28,NOR,2,2021-05-03,57303
28,NOR,1,2021-05-10,118277
28,NOR,2,2021-05-10,51582
28,NOR,1,2021-05-17,113237
28,NOR,2,2021-05-17,30148
28,NOR,1,2021-05-24,104519
28,NOR,2,2021-05-24,33812
28,NOR,1,2021-05-31,114395
28,NOR,2,2021-05-31,46168
28,NOR,1,2021-06-07,106570
28,NOR,2,2021-06-07,64642
28,NOR,1,2021-06-14,81222
28,NOR,2,2021-06-14,79163
28,NOR,1,2021-06-21,58419
28,NOR,2,2021-06-21,114417
28,NOR,1,2021-06-28,51855
28,NOR,2,2021-06-28,113883
28,NOR,1,2021-07-05,51816
28,NOR,2,2021-07-05,112477
28,NOR,1,2021-07-12,50752
28,NOR,2,2021-07-12,127951
28,NOR,1,2021-07-19,53032
28,NOR,2,2021-07-19,121576
28,NOR,1,2021-07-26,50948
28,NOR,2,2021-07-26,82399
28,NOR,1,2021-08-02,27335
28,NOR,2,2021-08-02,61848
28,NOR,1,2021-08-09,12164
28,NOR,2,2021-08-09,50576
76,OCC,1,2021-01-18,200
76,OCC,1,2021-01-25,197
76,OCC,1,2021-02-01,262
76,OCC,1,2021-02-08,63
76,OCC,2,2021-02-08,221
76,OCC,1,2021-02-15,186
76,OCC,2,2021-02-15,133
76,OCC,1,2021-02-22,118
76,OCC,2,2021-02-22,242
76,OCC,1,2021-03-01,218
76,OCC,2,2021-03-01,136
76,OCC,1,2021-03-08,355
76,OCC,2,2021-03-08,110
76,OCC,1,2021-03-15,40203
76,OCC,2,2021-03-15,8918
76,OCC,1,2021-03-22,73760
76,OCC,2,2021-03-22,16842
76,OCC,1,2021-03-29,93096
76,OCC,2,2021-03-29,24257
76,OCC,1,2021-04-05,102394
76,OCC,2,2021-04-05,38427
76,OCC,1,2021-04-12,124724
76,OCC,2,2021-04-12,59888
76,OCC,1,2021-04-19,123364
76,OCC,2,2021-04-19,76601
76,OCC,1,2021-04-26,125322
76,OCC,2,2021-04-26,88034
76,OCC,1,2021-05-03,139979
76,OCC,2,2021-05-03,107892
76,OCC,1,2021-05-10,162304
76,OCC,2,2021-05-10,104023
76,OCC,1,2021-05-17,187279
76,OCC,2,2021-05-17,57508
76,OCC,1,2021-05-24,150629
76,OCC,2,2021-05-24,59426
76,OCC,1,2021-05-31,152702
76,OCC,2,2021-05-31,96311
76,OCC,1,2021-06-07,151631
76,OCC,2,2021-06-07,118846
76,OCC,1,2021-06-14,129888
76,OCC,2,2021-06-14,139074
76,OCC,1,2021-06-21,85597
76,OCC,2,2021-06-21,168653
76,OCC,1,2021-06-28,82214
76,OCC,2,2021-06-28,182549
76,OCC,1,2021-07-05,85251
76,OCC,2,2021-07-05,166062
76,OCC,1,2021-07-12,97323
76,OCC,2,2021-07-12,170042
76,OCC,1,2021-07-19,102473
76,OCC,2,2021-07-19,181881
76,OCC,1,2021-07-26,71942
76,OCC,2,2021-07-26,131569
76,OCC,1,2021-08-02,40873
76,OCC,2,2021-08-02,93219
